loinc_num,query_id,N,relevance
74774-1,glucose_blood,2,1
35184-1,glucose_blood,2,1
14764-5,glucose_blood,2,1
14749-6,glucose_blood,2,1
934-0,glucose_blood,1,0
933-2,glucose_blood,1,0
925-8,glucose_blood,1,0
890-4,glucose_blood,1,0
883-9,glucose_blood,1,0
882-1,glucose_blood,1,0
8310-5,glucose_blood,0,0
6768-6,glucose_blood,1,0
54439-5,glucose_blood,0,0
4671-4,glucose_blood,1,0
35192-4,glucose_blood,1,0
33870-7,glucose_blood,0,0
31100-1,glucose_blood,1,0
3082-5,glucose_blood,1,0
30522-7,glucose_blood,1,0
29265-6,glucose_blood,1,0
26484-6,glucose_blood,1,0
26478-8,glucose_blood,1,0
26474-7,glucose_blood,1,0
26464-8,glucose_blood,1,0
23658-8,glucose_blood,0,0
2143-6,glucose_blood,1,0
2132-9,glucose_blood,1,0
2111-3,glucose_blood,1,0
2093-3,glucose_blood,1,0
2085-9,glucose_blood,1,0
2075-0,glucose_blood,1,0
2069-3,glucose_blood,1,0
20629-2,glucose_blood,0,0
20565-8,glucose_blood,1,0
20442-0,glucose_blood,1,0
2039-6,glucose_blood,1,0
2028-9,glucose_blood,1,0
1995-0,glucose_blood,1,0
1994-3,glucose_blood,1,0
1988-5,glucose_blood,1,0
1975-2,glucose_blood,1,0
1971-1,glucose_blood,1,0
1968-7,glucose_blood,1,0
1959-6,glucose_blood,1,0
1920-8,glucose_blood,1,0
19080-1,glucose_blood,1,0
19000-9,glucose_blood,0,0
18998-5,glucose_blood,0,0
18955-5,glucose_blood,0,0
18928-2,glucose_blood,0,0
18906-8,glucose_blood,0,0
18878-9,glucose_blood,0,0
18865-6,glucose_blood,0,0
18864-9,glucose_blood,0,0
1798-8,glucose_blood,1,0
17861-6,glucose_blood,1,0
1759-0,glucose_blood,1,0
1751-7,glucose_blood,1,0
1742-6,glucose_blood,1,0
15076-3,glucose_blood,1,0
14747-0,glucose_blood,1,0
14578-9,glucose_blood,1,0
14423-8,glucose_blood,0,0
13317-3,glucose_blood,0,0
1250-0,glucose_blood,0,0
10331-7,glucose_blood,1,0
1003-3,glucose_blood,1,0
934-0,bilirubin_plasma,0,0
1742-6,bilirubin_plasma,1,0
20565-8,bilirubin_plasma,0,0
1959-6,bilirubin_plasma,0,0
18906-8,bilirubin_plasma,0,0
18865-6,bilirubin_plasma,0,0
13317-3,bilirubin_plasma,0,0
882-1,bilirubin_plasma,0,0
26464-8,bilirubin_plasma,0,0
1968-7,bilirubin_plasma,2,1
8310-5,bilirubin_plasma,0,0
30522-7,bilirubin_plasma,1,0
18878-9,bilirubin_plasma,0,0
1994-3,bilirubin_plasma,0,0
1975-2,bilirubin_plasma,2,1
2093-3,bilirubin_plasma,1,0
10331-7,bilirubin_plasma,0,0
1250-0,bilirubin_plasma,1,0
18955-5,bilirubin_plasma,0,0
19000-9,bilirubin_plasma,0,0
18864-9,bilirubin_plasma,0,0
890-4,bilirubin_plasma,1,0
14578-9,bilirubin_plasma,0,0
17861-6,bilirubin_plasma,1,0
1759-0,bilirubin_plasma,1,0
2028-9,bilirubin_plasma,1,0
883-9,bilirubin_plasma,0,0
23658-8,bilirubin_plasma,0,0
1971-1,bilirubin_plasma,2,1
20442-0,bilirubin_plasma,1,0
74774-1,bilirubin_plasma,1,0
14747-0,bilirubin_plasma,0,0
35192-4,bilirubin_plasma,2,1
2143-6,bilirubin_plasma,1,0
2039-6,bilirubin_plasma,1,0
26474-7,bilirubin_plasma,0,0
3082-5,bilirubin_plasma,1,0
14423-8,bilirubin_plasma,1,0
18928-2,bilirubin_plasma,0,0
26478-8,bilirubin_plasma,0,0
1003-3,bilirubin_plasma,1,0
14749-6,bilirubin_plasma,1,0
933-2,bilirubin_plasma,0,0
26484-6,bilirubin_plasma,0,0
1751-7,bilirubin_plasma,1,0
2132-9,bilirubin_plasma,1,0
14764-5,bilirubin_plasma,1,0
15076-3,bilirubin_plasma,1,0
19080-1,bilirubin_plasma,1,0
925-8,bilirubin_plasma,0,0
20629-2,bilirubin_plasma,0,0
2111-3,bilirubin_plasma,1,0
29265-6,bilirubin_plasma,1,0
35184-1,bilirubin_plasma,1,0
2069-3,bilirubin_plasma,0,0
6768-6,bilirubin_plasma,1,0
31100-1,bilirubin_plasma,0,0
1798-8,bilirubin_plasma,1,0
2075-0,bilirubin_plasma,1,0
